c_reviews,label
"the atmosphere is quite good staffs are also nice with their behaviour however which is important the food is somewhat disappointed in every aspect
dont know why i had ordered mutton biryania big no to everyone other ",1
the quantity of food during dinein was fabulous but today bought biriyani in parcel and the quantity was very very less the bamboo biriyanis quantity was not going fulfill ones hunger thats the quantity they provide in parcel which ,-1
the location of restaurant is at near by railway station road i enjoyed the atmosphere of of the rooftop ambient is super good for college students and newly married couples not really recommended the rooftop for the families they can ,1
service is terrible not quite hygienic the food tastes good though but the quantity is very less for the price that they take the rating seems to be a big fraud,-1
"ambience is good but food is completely waste of money
tandoori items are somewhat ok but dont order chinese items
staff behavior is also good ",1
the place is for its name and some unique menu onlyas like bamboo biriyani bamboo chickenwhere in the town there are no other options for the same menubut what the thing they actually do is  they prepare all the foods as regular ,1
a very good restaurant cum lounge located very close to brahmapur railway station hygenic air conditioned and well lit atmosphere food was good too,1
was really good for birthday celebration and late night partieswell decorated beautifully ,1
"good food nice ambience
all staff are quite good",1
i was accepted much taste food are available here but i was very disappoint after taste i was stay in their hotel also room are very dirty even no one clean after anyone check out very derespectful ,-1
on top flower open terrace their is need one kitchen over all good tasty food  this is only for family type restaurant not a open dj  ,1
atmosphere is ok but as per price quantity is very low i will never visit again ,-1
visited twice once the food was all good and in the next time sky lounge it felt like the quality of the chicken was being compromised,1
your hotal is very good and there food is very delicious and it place is very nice they are enjoying with family,1
"too spicy food very short area

i didnt went there for any combo offer i gave fair review the owner is ",1
a very nice restaurant your food is very tasty  ,1
the food is so tasty and awesome do visit ,1
i felt so irritate in open sky bcz no facility of air feeling so hot theres only  stand fan that flows air towards one side only ,-1
the atmosphere is quite good staffs are also nice with their behaviour however which is important the food is somewhat disappointed in every aspect,1
such a heavenly place in berhampur   on food   on services just wow   ,1
"good ambience
service is likely dissatisfied
average taste ",1
"a very good place in berhampur
a awesome staff  behavior is so good
owner is very friendly and a very nice person  ",1
tastety food with nice ambience you get also get hookahs little bit high price,1
"such a cheat restaurant i have never seen while ordering through online delivery
such a less quantity but no taste and high price of every items in their menu ",-1
i checked in around  hrs  i am paul i want single occupancy room but there was no single occupancy room available so i took double occupancy room but i stayed single it was drizzling outside so i was bound to stay in that room ,-1
"best food at affordable prices 
services are also perfect
perfect place for long meets
must visit this place ",1
good placevery fine foodgood service,1
a very nice hotel ana staff behaviour normal and room clean,1
the food tastes okok but the price is overrated,0
rude behaviour waste of money dont go there  ,-1
loved the foodneed to improve the service management,1
good food polite staffs spacious space,1
amazing interior view  excellent food in tandem with price ,1
location of restaurant in nearby railway station road a very good restaurant and amazing  i love my restaurant my favourite restaurant,1
a very nice hotel and test better and lets go try it,1
savor exquisite flavors cozy ambiance and exceptional servicea culinary experience worth revisiting this restaurants attraction exceeds expectations,1
good food rooms are also neat and clean to stay it has no parking place so you canpark your vehicle near the railway station,1
so very nice resturant in cleaning room in imajing resturant,1
nice quality food with best and good service c,1
the staff at this restaurant were attentive friendly and provided excellent service throughout our dining experience highly recommended,1
all staff are friendly  food was very good ,1
"very bad experience with service of staff
there is no proper comunication with customer and very rude way of answering to customers ",-1
the good resturant i have ever visited ,1
resturant food are very hugine menten in other restaurants,0
nice food best quality,1
tasty food very much food very good,1
a very good restaurant and beautiful and amazing cleaning room,1
great quality food with nice staff behaviour best in bam,1
i loved their atmosphere beautiful one food is also good,1
very precious and tasty restaurant  ,1
so very nice in restaurant isa best restaurant nice biriyani,1
a very nice kichen and restaurant food delicious and amazing,1
very nice dish paneer tikka  ,1
nice restaurant and very clean lounge  ,1
"this restaurants food very very test and best
 ",1
we went for done out to this restaurant the food quality was too low it seems like they are cooked the food  hour before while serving taste is not worth it i am really dissatisfied with the food and quality hope may they try to improve their quality in the food,1
nice looking good and service nice biriyani,1
the resturant make in food and mills very nice,1
sometime restaurants forget the basic rule of their bussiness even though food is excellent if you dont have good customer service that restaurant will eventually get a bad name tonight i went for dinner with wife and my  months baby ,-1
wonderful place   wonderful staff  well recommended after a long journey ,1
the location of restaurant is at near by railway station road i enjoyed the atmosphere of of the rooftop ambient is super good for college students and newly married couples not really recommended the rooftop for the families they can ,1
nice chiken lalipap or fish curry,1
a very nice restaurant ina amazing,1
nice looking food and nice biriyani,1
nice restaurants food,1
loved their food service is top notch,1
quality food with best taste and good service,1
a very good restaurant and amazing and cleaning and foods and itel,1
"chicken mandi is really good tastes like authentic hyderabadi mandi more than enough for 
good portion provided
taste is really well awesome ambiance",1
nice chicken lalipup or food dealisec,1
so very nice restaurant in room and nice biriyani and amazing restaurant,1
taste was not at all gud we ordered bamboo chicken bt they put already made chicken curry into bamboo stick n serve same as bamboo chicken biriyani n dts called bamboo chicken lol prices r too high as compared to quantity n quality sizzling brownie wid ice cream was gud bt quantity itna k two bytes me khatam ,1
we had a great time with our customers  ,1
delicious food nice environment,1
the bamboo biryani served here is a must to taste item in your bucket list,0
